"Sample Type","Lab No","Test ID","Date Recd","Date Rept","Beginning Depth","Ending Depth","Soil pH 1:1","Wdrf Buffer","1:1 Electrical Conductivity, mmho/cm","Excess Lime","Organic Matter, % LOI","Soil Respiration, ppm CO2-C","H2O Total Org. C, ppm C","H2O Total N, ppm N","H2O Org. N, ppm N","H3A Nitrate, ppm NO3-N","H3A Ammonium, ppm NH4-N","H3A Inorganic N, ppm N","H3A Total Phosphorus, ppm P","H3A Inorganic Phosphorus, ppm PO4-P","H3A Organic Phosphorus, ppm P","H3A Potassium, ppm K","H3A Calcium, ppm Ca","H3A Magnessium, ppm Mg","H3A Sodium, ppm Na","H3A Sulfur, ppm S","H3A Zinc, ppm Zn","H3A Iron, ppm Fe","H3A Manganese, ppm Mn","H3A Copper, ppm Cu","H3A Aluminum, ppm Al","Microbially Active C, %","H2O Org. C:Org. N ","H2O Org. N:H3A Inorg. N","Organic N Release, ppm N","Organic N Reserve, ppm N","Organic P Release, ppm P","Organic P Reserve, ppm P","Soil Health Score","Available N, lbs/A","Available P, lbs/A","Available K, lbs/A","Nutrient Value, $","Traditional Test N, lbs/A","Haney Test N, lbs/A","N Difference, lbs/A","N Savings, $","Cover Crop Mix","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3"
"SOIL HEALTH","21668","N/A","10/26/2022","10/28/2022","0","8","7.66","","0.17","NONE","2.3","50.7","171","26.16","15.97","5.86","3.86","9.7","18.8","17.1","1.7","70","403","217","26","4.52","1.51","45","21.9","0.15","118","29.6","10.7","1.57","15.97","0.0","1.5","0.2","10.1","61.7","42.8","83.7","125.7","14.1","61.7","47.6","49.5","40% Legume 60% Grass","ALFALFA - HALF","GRASS/ALFALFA T/A","4","0","20","35","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","21669","N/A","10/26/2022","10/28/2022","0","8","7.69","","0.18","NONE","3.6","159.5","202","28.72","17.96","5.81","3.99","9.8","22.9","20.8","2.1","63","475","148","27","4.73","0.5","42","20.6","0.16","95","79.1","11.2","1.67","17.96","0.0","2.1","0.0","19.1","66.6","52.6","75.6","131.3","13.9","66.6","52.7","54.78","30% Legume 70% Grass","ALL OTHER CROPS","GRASS T/A","5","105","15","40","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","21670","N/A","10/26/2022","10/28/2022","0","4","7.15","","0.15","NONE","4.2","160.7","152","21.66","14.08","4.36","2.21","6.6","30.4","27.6","2.8","87","571","144","21","3.6","0.29","33","4.2","0.22","146","105.6","10.8","1.86","14.08","0.0","2.8","0.0","17.9","24.8","69.8","105.0","110.4","5.2","24.8","19.5","20.33","30% Legume 70% Grass","ALFALFA - HALF","ALFALFA T/A","4","0","15","0","0","15","3","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","21671","N/A","10/26/2022","10/28/2022","0","8","8.24","","0.17","HIGH","2.8","43.9","138","20.07","11.11","4.15","4.85","9.0","1.8","1.7","0.2","48","2901","190","16","5.55","0.01","3","0.2","0.04","25","31.7","12.5","1.24","11.11","0.0","0.2","0.0","8.3","48.3","4.2","57.7","81.0","10.0","48.3","38.3","39.83","50% Legume 50% Grass","ALL OTHER CROPS","CORN BU/A","200","170","105","40","0","13","14","***","8","1.7","0","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","21672","N/A","10/26/2022","10/28/2022","0","8","7.95","","0.14","HIGH","2.7","73.1","160","22.29","14.39","4.06","3.29","7.4","3.3","3.0","0.3","51","2815","128","15","4.85","0.01","4","0.3","0.05","23","45.8","11.1","1.82","14.39","0.0","0.3","0.0","12.0","52.2","7.7","61.2","88.4","9.7","52.2","42.4","44.13","40% Legume 60% Grass","COVER CROP MIX","ALFALFA T/A","2","0","85","25","0","0","14","***","8","0.6","0","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","21673","N/A","10/26/2022","10/28/2022","0","3","8.18","","0.16","HIGH","2.9","23.5","154","23.08","11.71","5.09","7.29","12.4","5.0","4.5","0.5","83","2818","59","11","3.67","0.01","5","0.7","0.04","29","15.3","13.1","1.03","7.17","4.5","0.2","0.2","6.6","17.6","10.9","99.2","72.9","4.6","17.6","13.0","13.53","50% Legume 50% Grass","ALL OTHER CROPS","TRITICALE HAY T/A","5","180","65","0","0","7","14","***","9","1.7","0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
