"Sample Type","Lab No","Test ID","Date Recd","Date Rept","Beginning Depth","Ending Depth","Soil pH 1:1","Wdrf Buffer","1:1 Electrical Conductivity, mmho/cm","Excess Lime","Organic Matter, % LOI","Soil Respiration, ppm CO2-C","H2O Total Org. C, ppm C","H2O Total N, ppm N","H2O Org. N, ppm N","H3A Nitrate, ppm NO3-N","H3A Ammonium, ppm NH4-N","H3A Inorganic N, ppm N","H3A Total Phosphorus, ppm P","H3A Inorganic Phosphorus, ppm PO4-P","H3A Organic Phosphorus, ppm P","H3A Potassium, ppm K","H3A Calcium, ppm Ca","H3A Magnesium, ppm Mg","H3A Sodium, ppm Na","H3A Sulfur, ppm S","H3A Zinc, ppm Zn","H3A Iron, ppm Fe","H3A Manganese, ppm Mn","H3A Copper, ppm Cu","H3A Aluminum, ppm Al","Microbially Active C, %","H2O Org. C:Org. N ","H2O Org. N:H3A Inorg. N","Organic N Release, ppm N","Organic N Reserve, ppm N","Organic P Release, ppm P","Organic P Reserve, ppm P","Soil Health Score","Available N, lbs/A","Available P, lbs/A","Available K, lbs/A","Nutrient Value, $","Traditional Test N, lbs/A","Haney Test N, lbs/A","N Difference, lbs/A","N Savings, $","Cover Crop Mix","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3"
"SOIL HEALTH","2158","N/A","4/6/2022","4/8/2022","0","6","7.3","","0.52","HIGH","3.6","88.1","140","21.05","10.03","8.3","2.7","11.0","26.7","24.2","2.5","96","1433","71","8","5.3","0.13","25","0.9","0.16","132","62.9","14.0","0.91","10.0","0.0","2.5","0.0","12.6","37.9","61.4","115.8","106.1","14.9","37.9","23.0","14.71","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","2159","N/A","4/6/2022","4/8/2022","0","6","7.2","","0.39","NONE","3.6","84.1","147","23.19","10.2","9.4","3.6","13.0","81.8","74.4","7.4","109","1138","56","8","5.81","0.15","27","1.6","0.11","184","57.0","14.4","0.79","10.2","0.0","7.4","0.0","12.4","41.8","188.2","130.3","165.3","16.9","41.8","24.9","15.91","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","2160","N/A","4/6/2022","4/8/2022","0","6","7.9","","0.15","NONE","2.2","27.2","146","21.59","12.15","5.1","4.4","9.4","49.7","45.2","4.5","69","707","193","10","4.2","0.51","20","19.0","0.15","120","18.7","12.0","1.29","9.1","3.1","2.5","2.0","6.9","33.3","109.8","82.9","105.6","9.1","33.3","24.2","15.46","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","2161","N/A","4/6/2022","4/8/2022","0","6","8.0","","0.32","HIGH","3.3","28.3","106","32.51","7.86","20.5","4.2","24.7","43.7","39.7","4.0","141","2254","39","6","5.71","0.2","8","1.3","0.14","85","26.7","13.5","0.32","7.9","0.0","3.2","0.8","5.7","58.5","98.6","169.5","160.7","36.9","58.5","21.6","13.84","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","2162","N/A","4/6/2022","4/8/2022","0","6","7.5","","0.39","NONE","4.2","118.5","101","22.5","6.38","11.6","4.5","16.1","134.2","122.0","12.2","179","1447","71","10","9.65","0.33","77","1.3","0.21","116","116.8","15.9","0.4","6.4","0.0","12.2","0.0","12.5","40.5","308.7","214.9","253.8","20.9","40.5","19.6","12.56","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","2163","N/A","4/6/2022","4/8/2022","0","6","8.3","","0.13","HIGH","2.4","26.4","90","14.61","6.98","4.0","3.6","7.6","26.8","24.4","2.4","52","2130","35","6","3.43","0.2","8","1.1","0.08","60","29.5","12.8","0.92","7.0","0.0","2.2","0.3","5.1","26.3","61.1","62.0","71.7","7.2","26.3","19.1","12.22","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","2164","N/A","4/6/2022","4/8/2022","0","6","8.2","","0.17","HIGH","2.8","33.6","101","14.58","7.27","3.4","3.9","7.3","40.0","36.4","3.6","82","1889","38","8","3.46","0.2","9","1.2","0.13","87","33.1","14.0","0.99","7.3","0.0","3.6","0.0","6.1","26.3","92.0","97.9","101.6","6.1","26.3","20.1","12.87","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","2165","N/A","4/6/2022","4/8/2022","0","6","6.2","6.5","0.16","NONE","2.9","95.5","140","15.47","9.16","1.9","4.4","6.3","17.0","14.7","2.3","68","580","51","7","3.37","0.21","64","6.1","0.23","118","68.1","15.3","1.45","9.2","0.0","2.3","0.0","13.3","27.8","39.0","81.1","73.6","3.4","27.8","24.5","15.67","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","2166","N/A","4/6/2022","4/8/2022","0","6","5.8","6.2","0.13","NONE","3.0","31.2","150","15.71","9.7","2.7","3.4","6.0","18.2","16.5","1.7","57","446","54","8","3.51","0.23","106","6.0","0.25","129","20.8","15.4","1.61","8.1","1.6","1.0","0.6","7.1","25.4","40.3","68.6","66.3","4.8","25.4","20.6","13.17","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","2167","N/A","4/6/2022","4/8/2022","0","6","7.7","","0.18","NONE","2.9","44.0","142","24.57","11.46","9.4","3.7","13.1","38.3","34.8","3.5","95","643","210","8","5.22","0.34","27","15.1","0.11","143","31.1","12.4","0.87","11.5","0.0","3.3","0.2","8.4","44.2","87.5","114.3","119.6","16.9","44.2","27.3","17.48","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
